"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","rt","responses","stimulus","key_press","view_history","stimulus_type","trial_stimulus","minimum_viewing_duration","trial_looking_time","condition_num","block_number","block_type","stimulus_displayed","position_displayed"
"true","fullscreen","0","2285","0.0-0.0","SS1619967801296","","","","","","","","","","","","","",""
"","survey-text","1","33741","0.0-1.0","SS1619967801296","31452.304999998887","{""Age"":""267"",""Gender"":""F""}","","","","","","","","","","","",""
"","audio-keyboard-response","2","53583","0.0-2.0","SS1619967801296","19838.470000002417","","stimuli/audio/music_intro.wav","40","","","","","","","","","",""
"","html-keyboard-response","3","56055","0.0-3.0","SS1619967801296","2470.965000000433","","<p><img src=stimuli/intro/intro2.jpeg width ='900' height = '500'></p>","40","","","","","","","","","",""
"","html-keyboard-response","4","144640","0.0-4.0","SS1619967801296","88584.65999999316","","<p><img src=stimuli/intro/intro3.jpeg width ='900' height = '500'></p>","40","","","","","","","","","",""
"","html-keyboard-response","5","178072","0.0-5.0","SS1619967801296","33430.64000000595","","<p><img src=stimuli/intro/intro4.jpeg width ='900' height = '500'></p>","40","","","","","","","","","",""
"","html-keyboard-response","6","190286","0.0-6.0","SS1619967801296","12214.04999999504","","<p><img src=stimuli/intro/intro5.jpeg width ='900' height = '500'></p>","40","","","","","","","","","",""
"","html-keyboard-response","7","205431","0.0-7.0","SS1619967801296","15144.269999989774","","<p><img src=stimuli/intro/intro6.jpeg width ='900' height = '500'></p>","40","","","","","","","","","",""
"","html-keyboard-response","8","224263","0.0-8.0","SS1619967801296","18830.48499999859","","<p><img src=stimuli/intro/intro7.jpeg width ='900' height = '500'></p>","40","","","","","","","","","",""
"","html-keyboard-response","9","240578","0.0-9.0","SS1619967801296","16314.729999998235","","<p><img src=stimuli/intro/intro8.jpeg width ='900' height = '500'></p>","40","","","","","","","","","",""
"","html-keyboard-response","10","241860","0.0-10.0","SS1619967801296","1280.1499999914085","","<p><img src=stimuli/intro/intro9.jpeg width ='900' height = '500'></p>","40","","","","","","","","","",""
"","instructions","11","353556","0.0-11.0","SS1619967801296","111696.38999999734","","","","[{""page_index"":0,""viewing_time"":111696.16000000678}]","","","","","","","","",""
"","video-keyboard-response","12","358217","0.0-12.0","SS1619967801296","null","","[""stimuli/images/attngetter_quiet.mp4""]","null","","attention_getter","","","","","","","",""
"","html-keyboard-response","13","360395","0.0-13.0-0.0","SS1619967801296","null","","<p><img src=stimuli/images/blank_fam.png width =""200"" height = ""200"" style=""position:absolute;left:85%""></p><p><img src= stimuli/images/blank.png width =""650"" height = ""650"" style=""border:5px solid black""></p>","null","","","","","","","","","",""
"","sequential-stimulus-presentation","14","366403","0.0-13.0-1.0","SS1619967801296","null","","","null","","trial","","1000","1000","4","0","Std","stimuli/images/spore_stims/simple_04_A.gif","right"
"","html-keyboard-response","15","368118","0.0-13.0-0.1","SS1619967801296","null","","<p><img src=stimuli/images/blank_fam.png width =""200"" height = ""200"" style=""position:absolute;left:85%""></p><p><img src= stimuli/images/blank.png width =""650"" height = ""650"" style=""border:5px solid black""></p>","null","","","","","","","","","",""
"","sequential-stimulus-presentation","16","374125","0.0-13.0-1.1","SS1619967801296","null","","","null","","trial","","1000","1000","4","0","Std","stimuli/images/spore_stims/simple_04_A.gif","right"
"","html-keyboard-response","17","375575","0.0-13.0-0.2","SS1619967801296","null","","<p><img src=stimuli/images/blank_fam.png width =""200"" height = ""200"" style=""position:absolute;left:85%""></p><p><img src= stimuli/images/blank.png width =""650"" height = ""650"" style=""border:5px solid black""></p>","null","","","","","","","","","",""
"","sequential-stimulus-presentation","18","381579","0.0-13.0-1.2","SS1619967801296","null","","","null","","trial","","1000","1000","4","0","Std","stimuli/images/spore_stims/simple_04_A.gif","right"
"","html-keyboard-response","19","383581","0.0-13.0-0.3","SS1619967801296","null","","<p><img src=stimuli/images/blank_fam.png width =""200"" height = ""200"" style=""position:absolute;left:85%""></p><p><img src= stimuli/images/blank.png width =""650"" height = ""650"" style=""border:5px solid black""></p>","null","","","","","","","","","",""
"","sequential-stimulus-presentation","20","389585","0.0-13.0-1.3","SS1619967801296","null","","","null","","trial","","1000","1000","4","0","Std","stimuli/images/spore_stims/simple_04_A.gif","right"
