"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","rt","responses","stimulus","key_press","view_history","stimulus_type","trial_stimulus","minimum_viewing_duration","trial_looking_time","subject_num","block_number","block_type","stimulus_displayed","fam_duration","response","question_order"
"true","fullscreen","0","86267","0.0-0.0","SS1632936837955","","","","","","","","","","","","","","","",""
"","survey-text","1","99527","0.0-1.0","SS1632936837955","13257.10000000149","{""Age"":""336"",""Gender"":""M"",""Session"":""2""}","","","","","","","","","","","","","",""
"","audio-keyboard-response","2","106981","0.0-2.0","SS1632936837955","7452.5","","stimuli/audio/music_intro.wav","40","","","","","","","","","","","",""
"","html-keyboard-response","3","110873","0.0-3.0","SS1632936837955","3891.6999999955297","","<p><img src=stimuli/intro/intro2.jpeg width ='1200' height = '667'></p>","40","","","","","","","","","","","",""
"","html-keyboard-response","4","131729","0.0-4.0","SS1632936837955","20854.90000000596","","<p><img src=stimuli/intro/intro3.jpeg width ='1200' height = '667'></p>","40","","","","","","","","","","","",""
"","html-keyboard-response","5","154366","0.0-5.0","SS1632936837955","22636.69999999553","","<p><img src=stimuli/intro/intro4.jpeg width ='1200' height = '667'></p>","40","","","","","","","","","","","",""
"","html-keyboard-response","6","165211","0.0-6.0","SS1632936837955","10844.39999999851","","<p><img src=stimuli/intro/intro5.jpeg width ='1200' height = '667'></p>","40","","","","","","","","","","","",""
"","html-keyboard-response","7","173131","0.0-7.0","SS1632936837955","7918.4000000059605","","<p><img src=stimuli/intro/intro6.jpeg width ='1200' height = '667'></p>","40","","","","","","","","","","","",""
"","html-keyboard-response","8","173460","0.0-8.0","SS1632936837955","328.8999999985099","","<p><img src=stimuli/intro/intro7.jpeg width ='1200' height = '667'></p>","40","","","","","","","","","","","",""
"","html-keyboard-response","9","251586","0.0-9.0","SS1632936837955","78124.39999999851","","<p><img src=stimuli/intro/intro8.jpeg width ='1200' height = '667'></p>","40","","","","","","","","","","","",""
"","instructions","10","274207","0.0-10.0","SS1632936837955","22620.29999999702","","","","[{""page_index"":0,""viewing_time"":22619.89999999851}]","","","","","","","","","","",""
"","video-keyboard-response","11","278869","0.0-11.0","SS1632936837955","null","","[""stimuli/images/attngetter_quiet.mp4""]","null","","attention_getter","","","","","","","","","",""
