success,trial_type,trial_index,time_elapsed,internal_node_id,subject,rt,responses,stimulus,key_press,view_history,stimulus_type,subject_num,condition_num,block_number,block_type,fam_duration,stimulus_displayed,response,question_order
TRUE,fullscreen,0,436004,0.0-0.0,SS1652115237883,,,,,,,,,,,,,,
,survey-text,1,459769,0.0-1.0,SS1652115237883,23762.5,"{""Age"":""316"",""Gender"":""F""}",,,,,,,,,,,,
,audio-keyboard-response,2,486537,0.0-2.0,SS1652115237883,26767.1,,stimuli/audio/music_intro.wav,40,,,,,,,,,,
,html-keyboard-response,3,491041,0.0-3.0,SS1652115237883,4502.3,,<p><img src=stimuli/intro/intro2.jpeg width ='1200' height = '667'></p>,40,,,,,,,,,,
,html-keyboard-response,4,548276,0.0-4.0,SS1652115237883,57235.2,,<p><img src=stimuli/intro/intro3.jpeg width ='1200' height = '667'></p>,40,,,,,,,,,,
,html-keyboard-response,5,581510,0.0-5.0,SS1652115237883,33232.7,,<p><img src=stimuli/intro/intro4.jpeg width ='1200' height = '667'></p>,40,,,,,,,,,,
,html-keyboard-response,6,589767,0.0-6.0,SS1652115237883,8256.4,,<p><img src=stimuli/intro/intro5.jpeg width ='1200' height = '667'></p>,40,,,,,,,,,,
,html-keyboard-response,7,603942,0.0-7.0,SS1652115237883,14175.2,,<p><img src=stimuli/intro/intro6.jpeg width ='1200' height = '667'></p>,40,,,,,,,,,,
,html-keyboard-response,8,622189,0.0-8.0,SS1652115237883,18246.6,,<p><img src=stimuli/intro/intro7.jpeg width ='1200' height = '667'></p>,40,,,,,,,,,,
,html-keyboard-response,9,638883,0.0-9.0,SS1652115237883,16693.2,,<p><img src=stimuli/intro/intro8.jpeg width ='1200' height = '667'></p>,40,,,,,,,,,,
,instructions,10,667488,0.0-10.0,SS1652115237883,28604.3,,,,"[{""page_index"":0,""viewing_time"":28604.20000000298}]",,,,,,,,,
,video-keyboard-response,11,685728,0.0-11.0,SS1652115237883,null,,"[""stimuli/images/calibration.mp4""]",null,,calibration,,,,,,,,
,video-keyboard-response,12,690399,0.0-12.0,SS1652115237883,null,,"[""stimuli/images/attngetter_quiet.mp4""]",null,,attention_getter,,,,,,,,
,video-keyboard-response,13,732439,0.0-13.0,SS1652115237883,42039.2,,"[""stimuli/images/unity_stims/unitystims_003_Right_4fam_deviant_2_withmusic.mp4""]",40,,trial,3,4,1,deviant,4,stimuli/images/unity_stims/unitystims_003_Right_4fam_deviant_2_withmusic.mp4,,
