"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","rt","responses","stimulus","key_press","view_history","stimulus_type","subject_num","condition_num","block_number","block_type","fam_duration","stimulus_displayed","response","question_order"
"true","fullscreen","0","98524","0.0-0.0","SS1679947418409","","","","","","","","","","","","","",""
"","survey-text","1","125791","0.0-1.0","SS1679947418409","27262","{""Age"":""323"",""Gender"":""M""}","","","","","","","","","","","",""
"","audio-keyboard-response","2","132857","0.0-2.0","SS1679947418409","7065","","stimuli/audio/music_intro.wav","39","","","","","","","","","",""
"","html-keyboard-response","3","135907","0.0-3.0","SS1679947418409","3050","","<p><img src=stimuli/intro/intro2.jpeg width ='1200' height = '667'></p>","39","","","","","","","","","",""
"","html-keyboard-response","4","184609","0.0-4.0","SS1679947418409","48702","","<p><img src=stimuli/intro/intro3.jpeg width ='1200' height = '667'></p>","39","","","","","","","","","",""
"","html-keyboard-response","5","203337","0.0-5.0","SS1679947418409","18727","","<p><img src=stimuli/intro/intro4.jpeg width ='1200' height = '667'></p>","39","","","","","","","","","",""
"","html-keyboard-response","6","209359","0.0-6.0","SS1679947418409","6021","","<p><img src=stimuli/intro/intro5.jpeg width ='1200' height = '667'></p>","39","","","","","","","","","",""
"","html-keyboard-response","7","237193","0.0-7.0","SS1679947418409","27834","","<p><img src=stimuli/intro/intro6.jpeg width ='1200' height = '667'></p>","39","","","","","","","","","",""
"","html-keyboard-response","8","268526","0.0-8.0","SS1679947418409","31332","","<p><img src=stimuli/intro/intro7.jpeg width ='1200' height = '667'></p>","39","","","","","","","","","",""
"","html-keyboard-response","9","282861","0.0-9.0","SS1679947418409","14334","","<p><img src=stimuli/intro/intro8.jpeg width ='1200' height = '667'></p>","39","","","","","","","","","",""
"","instructions","10","345273","0.0-10.0","SS1679947418409","62410","","","","[{""page_index"":0,""viewing_time"":62409}]","","","","","","","","",""
"","video-keyboard-response","11","363534","0.0-11.0","SS1679947418409","null","","[""stimuli/images/calibration.mp4""]","null","","calibration","","","","","","","",""
"","video-keyboard-response","12","368238","0.0-12.0","SS1679947418409","null","","[""stimuli/images/attngetter_quiet.mp4""]","null","","attention_getter","","","","","","","",""
"","video-keyboard-response","13","407087","0.0-13.0","SS1679947418409","38847","","[""stimuli/images/unity_stims/unitystims_006_Left_2fam_deviant_1_new.mp4""]","39","","trial","11","2","1","deviant","2","stimuli/images/unity_stims/unitystims_006_Left_2fam_deviant_1_new.mp4","",""
"","html-keyboard-response","14","407747","0.0-14.0","SS1679947418409","659","","<p><img src=""stimuli/images/attngetter_blank.png""></p>","39","","between_block","","","","","","","",""
"","video-keyboard-response","15","412450","0.0-15.0","SS1679947418409","null","","[""stimuli/images/attngetter_quiet.mp4""]","null","","attention_getter","","","","","","","",""
"","video-keyboard-response","16","465783","0.0-16.0","SS1679947418409","53332","","[""stimuli/images/unity_stims/unitystims_003_Left_4fam_background_1_new.mp4""]","39","","trial","11","2","2","background","4","stimuli/images/unity_stims/unitystims_003_Left_4fam_background_1_new.mp4","",""
"","html-keyboard-response","17","466288","0.0-17.0","SS1679947418409","505","","<p><img src=""stimuli/images/attngetter_blank.png""></p>","39","","between_block","","","","","","","",""
"","video-keyboard-response","18","470980","0.0-18.0","SS1679947418409","null","","[""stimuli/images/attngetter_quiet.mp4""]","null","","attention_getter","","","","","","","",""
"","video-keyboard-response","19","493943","0.0-19.0","SS1679947418409","22962","","[""stimuli/images/unity_stims/unitystims_005_Right_2fam_background_1_new.mp4""]","39","","trial","11","2","3","background","2","stimuli/images/unity_stims/unitystims_005_Right_2fam_background_1_new.mp4","",""
