"","fam_or_test","experiment","subject_num","Trials.ordinal","exclude"
"1","test",3,"PKBB_01",9,TRUE
"2","fam",3,"PKBB_05",0,TRUE
"3","test",3,"PKBB_05",2,TRUE
"4","test",3,"PKBB_05",9,TRUE
"5","test",3,"PKBB_05",1,TRUE
"6","test",3,"PKBB_06",7,TRUE
"7","test",3,"PKBB_06",9,TRUE
"8","fam",3,"PKBB_10",2,TRUE
"9","fam",3,"PKBB_10",8,TRUE
"10","test",3,"PKBB_10",7,TRUE
"11","test",3,"PKBB_10",6,TRUE
"12","test",3,"PKBB_10",9,TRUE
"13","test",3,"PKBB_11",5,TRUE
"14","test",3,"PKBB_12",3,TRUE
"15","fam",3,"PKBB_13",0,TRUE
"16","fam",3,"PKBB_13",4,TRUE
"17","fam",3,"PKBB_13",2,TRUE
"18","fam",3,"PKBB_13",6,TRUE
"19","test",3,"PKBB_13",8,TRUE
"20","test",3,"PKBB_13",9,TRUE
"21","test",3,"PKBB_13",1,TRUE
"22","test",3,"PKBB_13",5,TRUE
"23","test",3,"PKBB_13",3,TRUE
"24","test",3,"PKBB_13",7,TRUE
"25","fam",3,"PKBB_15",0,TRUE
"26","fam",3,"PKBB_15",4,TRUE
"27","fam",3,"PKBB_15",2,TRUE
"28","fam",3,"PKBB_15",6,TRUE
"29","test",3,"PKBB_15",8,TRUE
"30","test",3,"PKBB_15",1,TRUE
"31","test",3,"PKBB_15",5,TRUE
"32","test",3,"PKBB_15",3,TRUE
"33","test",3,"PKBB_15",7,TRUE
"34","test",3,"PKBB_16",4,TRUE
"35","fam",3,"PKBB_17",6,TRUE
"36","test",3,"PKBB_19",6,TRUE
"37","test",3,"PKBB_19",8,TRUE
"38","fam",3,"PKBB_21",4,TRUE
"39","test",3,"PKBB_21",1,TRUE
"40","test",3,"PKBB_22",3,TRUE
"41","test",3,"PKBB_22",7,TRUE
"42","fam",3,"PKBB_23",1,TRUE
"43","fam",3,"PKBB_25",7,TRUE
"44","test",3,"PKBB_25",6,TRUE
"45","test",3,"PKBB_25",8,TRUE
"46","test",3,"PKBB_25",3,TRUE
"47","fam",3,"PKBB_26",1,TRUE
"48","test",3,"PKBB_26",0,TRUE
"49","test",3,"PKBB_26",5,TRUE
"50","fam",3,"PKBB_27",0,TRUE
"51","fam",3,"PKBB_27",2,TRUE
"52","fam",3,"PKBB_27",5,TRUE
"53","fam",3,"PKBB_27",8,TRUE
"54","test",3,"PKBB_27",4,TRUE
"55","test",3,"PKBB_27",7,TRUE
"56","test",3,"PKBB_27",1,TRUE
"57","test",3,"PKBB_27",3,TRUE
"58","test",3,"PKBB_27",6,TRUE
"59","test",3,"PKBB_27",9,TRUE
"60","test",3,"PKBB_28",5,TRUE
"61","test",3,"PKBB_28",1,TRUE
"62","test",3,"PKBB_30",0,TRUE
"63","test",3,"PKBB_30",3,TRUE
"64","test",3,"PKBB_30",2,TRUE
"65","test",3,"PKBB_30",5,TRUE
"66","test",3,"PKBB_30",7,TRUE
"67","fam",3,"PKBB_31",2,TRUE
"68","test",3,"PKBB_31",9,TRUE
"69","test",3,"PKBB_31",5,TRUE
"70","test",3,"PKBB_31",1,TRUE
"71","test",3,"PKBB_31",3,TRUE
"72","test",4,"PKBB_01",9,TRUE
"73","fam",4,"PKBB_02",2,TRUE
"74","test",4,"PKBB_03",3,TRUE
"75","test",4,"PKBB_04",1,TRUE
"76","test",4,"PKBB_05",1,TRUE
"77","test",4,"PKBB_06",1,TRUE
"78","test",4,"PKBB_07",3,TRUE
"79","test",4,"PKBB_09",3,TRUE
"80","fam",4,"PKBB_10",4,TRUE
"81","fam",4,"PKBB_10",8,TRUE
"82","test",4,"PKBB_11",1,TRUE
"83","test",4,"PKBB_12",3,TRUE
"84","fam",4,"PKBB_13",4,TRUE
"85","fam",4,"PKBB_13",8,TRUE
"86","fam",4,"PKBB_13",6,TRUE
"87","test",4,"PKBB_13",9,TRUE
"88","test",4,"PKBB_13",3,TRUE
"89","test",4,"PKBB_13",11,TRUE
"90","fam",4,"PKBB_14",0,TRUE
"91","fam",4,"PKBB_14",2,TRUE
"92","fam",4,"PKBB_14",6,TRUE
"93","fam",4,"PKBB_14",10,TRUE
"94","fam",4,"PKBB_14",4,TRUE
"95","fam",4,"PKBB_14",8,TRUE
"96","test",4,"PKBB_14",1,TRUE
"97","test",4,"PKBB_14",3,TRUE
"98","test",4,"PKBB_14",7,TRUE
"99","test",4,"PKBB_14",11,TRUE
"100","test",4,"PKBB_14",5,TRUE
"101","test",4,"PKBB_14",9,TRUE
"102","test",4,"PKBB_15",1,TRUE
"103","test",4,"PKBB_15",5,TRUE
"104","fam",4,"PKBB_16",8,TRUE
"105","test",4,"PKBB_16",9,TRUE
"106","fam",4,"PKBB_17",6,TRUE
"107","fam",4,"PKBB_17",10,TRUE
"108","fam",4,"PKBB_17",2,TRUE
"109","test",4,"PKBB_17",7,TRUE
"110","test",4,"PKBB_17",3,TRUE
"111","fam",4,"PKBB_18",4,TRUE
"112","fam",4,"PKBB_18",8,TRUE
"113","fam",4,"PKBB_18",2,TRUE
"114","test",4,"PKBB_18",11,TRUE
"115","test",4,"PKBB_18",5,TRUE
"116","test",4,"PKBB_18",9,TRUE
"117","test",4,"PKBB_20",5,TRUE
"118","test",4,"PKBB_20",9,TRUE
"119","test",4,"PKBB_20",1,TRUE
"120","test",4,"PKBB_20",3,TRUE
"121","test",4,"PKBB_22",7,TRUE
"122","test",4,"PKBB_22",9,TRUE
"123","fam",4,"PKBB_23",6,TRUE
"124","fam",4,"PKBB_23",10,TRUE
"125","fam",4,"PKBB_23",4,TRUE
"126","fam",4,"PKBB_23",8,TRUE
"127","fam",4,"PKBB_23",0,TRUE
"128","fam",4,"PKBB_23",2,TRUE
"129","test",4,"PKBB_23",7,TRUE
"130","test",4,"PKBB_23",11,TRUE
"131","test",4,"PKBB_23",5,TRUE
"132","test",4,"PKBB_23",9,TRUE
"133","test",4,"PKBB_23",1,TRUE
"134","test",4,"PKBB_23",3,TRUE
"135","fam",4,"PKBB_25",2,TRUE
"136","fam",4,"PKBB_25",6,TRUE
"137","fam",4,"PKBB_25",8,TRUE
"138","fam",4,"PKBB_25",10,TRUE
"139","fam",4,"PKBB_25",0,TRUE
"140","fam",4,"PKBB_25",4,TRUE
"141","test",4,"PKBB_25",3,TRUE
"142","test",4,"PKBB_25",7,TRUE
