"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","rt","responses","stimulus","key_press","view_history","stimulus_type","trial_stimulus","minimum_viewing_duration","trial_looking_time","condition_num","block_number","block_type","stimulus_displayed","position_displayed"
"true","fullscreen","0","73515","0.0-0.0","SS1620597812510","","","","","","","","","","","","","",""
"","survey-text","1","164487","0.0-1.0","SS1620597812510","90969.06499995384","{""Age"":""276"",""Gender"":""M""}","","","","","","","","","","","",""
"","audio-keyboard-response","2","186681","0.0-2.0","SS1620597812510","22191.899999976158","","stimuli/audio/music_intro.wav","40","","","","","","","","","",""
"","html-keyboard-response","3","191653","0.0-3.0","SS1620597812510","4970.930000010412","","<p><img src=stimuli/intro/intro2.jpeg width ='900' height = '500'></p>","40","","","","","","","","","",""
"","html-keyboard-response","4","288826","0.0-4.0","SS1620597812510","97172.55499999737","","<p><img src=stimuli/intro/intro3.jpeg width ='900' height = '500'></p>","40","","","","","","","","","",""
"","html-keyboard-response","5","324083","0.0-5.0","SS1620597812510","35257.04500003485","","<p><img src=stimuli/intro/intro4.jpeg width ='900' height = '500'></p>","40","","","","","","","","","",""
"","html-keyboard-response","6","334097","0.0-6.0","SS1620597812510","10012.63499999186","","<p><img src=stimuli/intro/intro5.jpeg width ='900' height = '500'></p>","40","","","","","","","","","",""
"","html-keyboard-response","7","352612","0.0-7.0","SS1620597812510","18514.49999999022","","<p><img src=stimuli/intro/intro6.jpeg width ='900' height = '500'></p>","40","","","","","","","","","",""
"","html-keyboard-response","8","353016","0.0-8.0","SS1620597812510","403.20499998051673","","<p><img src=stimuli/intro/intro7.jpeg width ='900' height = '500'></p>","40","","","","","","","","","",""
"","html-keyboard-response","9","353486","0.0-9.0","SS1620597812510","468.72000000439584","","<p><img src=stimuli/intro/intro8.jpeg width ='900' height = '500'></p>","40","","","","","","","","","",""
"","html-keyboard-response","10","353830","0.0-10.0","SS1620597812510","343.8550000428222","","<p><img src=stimuli/intro/intro9.jpeg width ='900' height = '500'></p>","40","","","","","","","","","",""
"","instructions","11","401810","0.0-11.0","SS1620597812510","47979.249999974854","","","","[{""page_index"":0,""viewing_time"":47979.00999995181}]","","","","","","","","",""
"","video-keyboard-response","12","406498","0.0-12.0","SS1620597812510","null","","[""stimuli/images/attngetter_quiet.mp4""]","null","","attention_getter","","","","","","","",""
"","html-keyboard-response","13","408080","0.0-13.0-0.0","SS1620597812510","null","","<p><img src=stimuli/images/blank_fam.png width =""200"" height = ""200"" style=""position:absolute;left:85%""></p><p><img src= stimuli/images/blank.png width =""650"" height = ""650"" style=""border:5px solid black""></p>","null","","","","","","","","","",""
"","sequential-stimulus-presentation","14","414085","0.0-13.0-1.0","SS1620597812510","null","","","null","","trial","","1000","1000","6","0","Std","stimuli/images/spore_stims/simple_04_A.gif","left"
"","html-keyboard-response","15","414700","0.0-13.0-0.1","SS1620597812510","null","","<p><img src=stimuli/images/blank_fam.png width =""200"" height = ""200"" style=""position:absolute;left:85%""></p><p><img src= stimuli/images/blank.png width =""650"" height = ""650"" style=""border:5px solid black""></p>","null","","","","","","","","","",""
"","sequential-stimulus-presentation","16","420701","0.0-13.0-1.1","SS1620597812510","null","","","null","","trial","","1000","1000","6","0","Std","stimuli/images/spore_stims/simple_04_A.gif","left"
"","html-keyboard-response","17","421637","0.0-13.0-0.2","SS1620597812510","null","","<p><img src=stimuli/images/blank_fam.png width =""200"" height = ""200"" style=""position:absolute;left:85%""></p><p><img src= stimuli/images/blank.png width =""650"" height = ""650"" style=""border:5px solid black""></p>","null","","","","","","","","","",""
"","sequential-stimulus-presentation","18","427642","0.0-13.0-1.2","SS1620597812510","null","","","null","","trial","","1000","1000","6","0","Std","stimuli/images/spore_stims/simple_04_A.gif","left"
"","html-keyboard-response","19","428407","0.0-13.0-0.3","SS1620597812510","null","","<p><img src=stimuli/images/blank_test.png width =""200"" height = ""200"" style=""position:absolute;left:85%""></p><p><img src= stimuli/images/blank.png width =""650"" height = ""650"" style=""border:5px solid black""></p>","null","","","","","","","","","",""
"","sequential-stimulus-presentation","20","439968","0.0-13.0-1.3","SS1620597812510","30885.479999997187","","","40","","trial","","1000","31885.479999997187","6","0","Std","stimuli/images/spore_stims/simple_04_A.gif","left"
"","html-keyboard-response","21","452914","0.0-14.0","SS1620597812510","12945.109999971464","","<p><img src=""stimuli/images/attngetter_blank.png"" width =""640"" height = ""490"" ></p>","40","","between_block","","","","","","","",""
"","video-keyboard-response","22","457564","0.0-15.0","SS1620597812510","null","","[""stimuli/images/attngetter_quiet.mp4""]","null","","attention_getter","","","","","","","",""
"","html-keyboard-response","23","459383","0.0-16.0-0.0","SS1620597812510","null","","<p><img src=stimuli/images/blank_fam.png width =""200"" height = ""200"" style=""position:absolute;left:85%""></p><p><img src= stimuli/images/blank.png width =""650"" height = ""650"" style=""border:5px solid black""></p>","null","","","","","","","","","",""
"","sequential-stimulus-presentation","24","465389","0.0-16.0-1.0","SS1620597812510","null","","","null","","trial","","1000","1000","6","1","Dev","stimuli/images/spore_stims/simple_08_A.gif","left"
"","html-keyboard-response","25","467801","0.0-16.0-0.1","SS1620597812510","null","","<p><img src=stimuli/images/blank_fam.png width =""200"" height = ""200"" style=""position:absolute;left:85%""></p><p><img src= stimuli/images/blank.png width =""650"" height = ""650"" style=""border:5px solid black""></p>","null","","","","","","","","","",""
"","sequential-stimulus-presentation","26","473804","0.0-16.0-1.1","SS1620597812510","null","","","null","","trial","","1000","1000","6","1","Dev","stimuli/images/spore_stims/simple_08_A.gif","left"
"","html-keyboard-response","27","474476","0.0-16.0-0.2","SS1620597812510","null","","<p><img src=stimuli/images/blank_fam.png width =""200"" height = ""200"" style=""position:absolute;left:85%""></p><p><img src= stimuli/images/blank.png width =""650"" height = ""650"" style=""border:5px solid black""></p>","null","","","","","","","","","",""
"","sequential-stimulus-presentation","28","480479","0.0-16.0-1.2","SS1620597812510","null","","","null","","trial","","1000","1000","6","1","Dev","stimuli/images/spore_stims/simple_08_A.gif","left"
"","html-keyboard-response","29","481654","0.0-16.0-0.3","SS1620597812510","null","","<p><img src=stimuli/images/blank_fam.png width =""200"" height = ""200"" style=""position:absolute;left:85%""></p><p><img src= stimuli/images/blank.png width =""650"" height = ""650"" style=""border:5px solid black""></p>","null","","","","","","","","","",""
"","sequential-stimulus-presentation","30","487658","0.0-16.0-1.3","SS1620597812510","null","","","null","","trial","","1000","1000","6","1","Dev","stimuli/images/spore_stims/simple_08_A.gif","left"
"","html-keyboard-response","31","489425","0.0-16.0-0.4","SS1620597812510","null","","<p><img src=stimuli/images/blank_fam.png width =""200"" height = ""200"" style=""position:absolute;left:85%""></p><p><img src= stimuli/images/blank.png width =""650"" height = ""650"" style=""border:5px solid black""></p>","null","","","","","","","","","",""
"","sequential-stimulus-presentation","32","495432","0.0-16.0-1.4","SS1620597812510","null","","","null","","trial","","1000","1000","6","1","Dev","stimuli/images/spore_stims/simple_08_A.gif","left"
"","html-keyboard-response","33","496946","0.0-16.0-0.5","SS1620597812510","null","","<p><img src=stimuli/images/blank_fam.png width =""200"" height = ""200"" style=""position:absolute;left:85%""></p><p><img src= stimuli/images/blank.png width =""650"" height = ""650"" style=""border:5px solid black""></p>","null","","","","","","","","","",""
"","sequential-stimulus-presentation","34","502952","0.0-16.0-1.5","SS1620597812510","null","","","null","","trial","","1000","1000","6","1","Dev","stimuli/images/spore_stims/simple_08_A.gif","left"
"","html-keyboard-response","35","504560","0.0-16.0-0.6","SS1620597812510","null","","<p><img src=stimuli/images/blank_fam.png width =""200"" height = ""200"" style=""position:absolute;left:85%""></p><p><img src= stimuli/images/blank.png width =""650"" height = ""650"" style=""border:5px solid black""></p>","null","","","","","","","","","",""
"","sequential-stimulus-presentation","36","510566","0.0-16.0-1.6","SS1620597812510","null","","","null","","trial","","1000","1000","6","1","Dev","stimuli/images/spore_stims/simple_08_A.gif","left"
"","html-keyboard-response","37","511200","0.0-16.0-0.7","SS1620597812510","null","","<p><img src=stimuli/images/blank_test.png width =""200"" height = ""200"" style=""position:absolute;left:85%""></p><p><img src= stimuli/images/blank.png width =""650"" height = ""650"" style=""border:5px solid black""></p>","null","","","","","","","","","",""
"","sequential-stimulus-presentation","38","544148","0.0-16.0-1.7","SS1620597812510","83762.59499997832","","","40","","trial","","1000","84762.59499997832","6","1","Dev","stimuli/images/spore_stims/simple_07_A.gif","right"
"","html-keyboard-response","39","544848","0.0-17.0","SS1620597812510","699.0250000380911","","<p><img src=""stimuli/images/attngetter_blank.png"" width =""640"" height = ""490"" ></p>","40","","between_block","","","","","","","",""
"","video-keyboard-response","40","549480","0.0-18.0","SS1620597812510","null","","[""stimuli/images/attngetter_quiet.mp4""]","null","","attention_getter","","","","","","","",""
"","html-keyboard-response","41","550076","0.0-19.0-0.0","SS1620597812510","null","","<p><img src=stimuli/images/blank_fam.png width =""200"" height = ""200"" style=""position:absolute;left:85%""></p><p><img src= stimuli/images/blank.png width =""650"" height = ""650"" style=""border:5px solid black""></p>","null","","","","","","","","","",""
"","sequential-stimulus-presentation","42","556079","0.0-19.0-1.0","SS1620597812510","null","","","null","","trial","","1000","1000","6","2","Dev","stimuli/images/spore_stims/simple_11_A.gif","right"
"","html-keyboard-response","43","557854","0.0-19.0-0.1","SS1620597812510","null","","<p><img src=stimuli/images/blank_fam.png width =""200"" height = ""200"" style=""position:absolute;left:85%""></p><p><img src= stimuli/images/blank.png width =""650"" height = ""650"" style=""border:5px solid black""></p>","null","","","","","","","","","",""
"","sequential-stimulus-presentation","44","563861","0.0-19.0-1.1","SS1620597812510","null","","","null","","trial","","1000","1000","6","2","Dev","stimuli/images/spore_stims/simple_11_A.gif","right"
"","html-keyboard-response","45","564667","0.0-19.0-0.2","SS1620597812510","null","","<p><img src=stimuli/images/blank_fam.png width =""200"" height = ""200"" style=""position:absolute;left:85%""></p><p><img src= stimuli/images/blank.png width =""650"" height = ""650"" style=""border:5px solid black""></p>","null","","","","","","","","","",""
"","sequential-stimulus-presentation","46","570672","0.0-19.0-1.2","SS1620597812510","null","","","null","","trial","","1000","1000","6","2","Dev","stimuli/images/spore_stims/simple_11_A.gif","right"
"","html-keyboard-response","47","572427","0.0-19.0-0.3","SS1620597812510","null","","<p><img src=stimuli/images/blank_fam.png width =""200"" height = ""200"" style=""position:absolute;left:85%""></p><p><img src= stimuli/images/blank.png width =""650"" height = ""650"" style=""border:5px solid black""></p>","null","","","","","","","","","",""
"","sequential-stimulus-presentation","48","578435","0.0-19.0-1.3","SS1620597812510","null","","","null","","trial","","1000","1000","6","2","Dev","stimuli/images/spore_stims/simple_11_A.gif","right"
"","html-keyboard-response","49","580848","0.0-19.0-0.4","SS1620597812510","null","","<p><img src=stimuli/images/blank_fam.png width =""200"" height = ""200"" style=""position:absolute;left:85%""></p><p><img src= stimuli/images/blank.png width =""650"" height = ""650"" style=""border:5px solid black""></p>","null","","","","","","","","","",""
"","sequential-stimulus-presentation","50","586851","0.0-19.0-1.4","SS1620597812510","null","","","null","","trial","","1000","1000","6","2","Dev","stimuli/images/spore_stims/simple_11_A.gif","right"
"","html-keyboard-response","51","588737","0.0-19.0-0.5","SS1620597812510","null","","<p><img src=stimuli/images/blank_test.png width =""200"" height = ""200"" style=""position:absolute;left:85%""></p><p><img src= stimuli/images/blank.png width =""650"" height = ""650"" style=""border:5px solid black""></p>","null","","","","","","","","","",""
"","sequential-stimulus-presentation","52","606698","0.0-19.0-1.5","SS1620597812510","55620.030000049155","","","40","","trial","","1000","56620.030000049155","6","2","Dev","stimuli/images/spore_stims/simple_12_A.gif","left"
"","html-keyboard-response","53","611984","0.0-20.0","SS1620597812510","5284.640000027139","","<p><img src=""stimuli/images/attngetter_blank.png"" width =""640"" height = ""490"" ></p>","40","","between_block","","","","","","","",""
"","video-keyboard-response","54","616660","0.0-21.0","SS1620597812510","null","","[""stimuli/images/attngetter_quiet.mp4""]","null","","attention_getter","","","","","","","",""
"","html-keyboard-response","55","618187","0.0-22.0-0.0","SS1620597812510","null","","<p><img src=stimuli/images/blank_fam.png width =""200"" height = ""200"" style=""position:absolute;left:85%""></p><p><img src= stimuli/images/blank.png width =""650"" height = ""650"" style=""border:5px solid black""></p>","null","","","","","","","","","",""
"","sequential-stimulus-presentation","56","624194","0.0-22.0-1.0","SS1620597812510","null","","","null","","trial","","1000","1000","6","3","Std","stimuli/images/spore_stims/simple_05_A.gif","right"
"","html-keyboard-response","57","625275","0.0-22.0-0.1","SS1620597812510","null","","<p><img src=stimuli/images/blank_fam.png width =""200"" height = ""200"" style=""position:absolute;left:85%""></p><p><img src= stimuli/images/blank.png width =""650"" height = ""650"" style=""border:5px solid black""></p>","null","","","","","","","","","",""
"","sequential-stimulus-presentation","58","631281","0.0-22.0-1.1","SS1620597812510","null","","","null","","trial","","1000","1000","6","3","Std","stimuli/images/spore_stims/simple_05_A.gif","right"
"","html-keyboard-response","59","632882","0.0-22.0-0.2","SS1620597812510","null","","<p><img src=stimuli/images/blank_fam.png width =""200"" height = ""200"" style=""position:absolute;left:85%""></p><p><img src= stimuli/images/blank.png width =""650"" height = ""650"" style=""border:5px solid black""></p>","null","","","","","","","","","",""
